Player,Tm,FantPos,Age,FantPt,PPR,DKPt,PosRank
Jacoby Brissett,MIA,QB,29,,0.4,0.4,38
Cethan Carter,MIA,,26,,,,60
Mike Gesicki,MIA,,26,,,,52
Jakeem Grant,MIA,,29,,,,123
Mack Hollins,MIA,,28,,,,143
Albert Wilson,MIA,,29,,,,136
Brandon Dillon,MIN,,24,,,,90
Chris Herndon,MIN,,25,,,,87
Garrett Griffin,NOR,,27,,,,83
Taysom Hill,NOR,QB,31,,0.2,0.2,39
Lil'Jordan Humphrey,NOR,,23,,,,148
Tre'Quan Smith,NOR,,25,,,,128
Nick Vannett,NOR,,28,,,,67
Dwayne Washington,NOR,,27,,,,95
Gunner Olszewski,NWE,,25,,,,156
Matthew Slater,NWE,,36,,,,140
Cullen Gillaspia,NYG,,26,,,,89
Elijhaa Penny,NYG,,28,,,,90
Kaden Smith,NYG,,24,,,,92
Nate Solder,NYG,,33,,,,53
Kadarius Toney,NYG,WR,22,,1.8,1.8,157
Daniel Brown,NYJ,,29,,,,88
Justin Hardee,NYJ,,27,,,,144
Elijah Moore,NYJ,WR,21,,0.7,0.7,159
Jeff Smith,NYJ,,24,,,,129
Trevon Wesco,NYJ,,26,,,,54
Khari Blasingame,TEN,,25,,,,91
MyCole Pruitt,TEN,,29,,,,84
Mekhi Sargent,TEN,RB,24,,0.2,0.2,82
Geoff Swaim,TEN,,28,,,,78
JJ Arcega-Whiteside,PHI,,25,,,,127
Boston Scott,PHI,,26,,,,92
Greg Ward,PHI,,26,,,,130
Kalen Ballage,PIT,,26,,,,96
Zach Gentry,PIT,TE,25,,0.8,0.8,93
Ray-Ray McCloud,PIT,,25,,,,153
Benny Snell Jr.,PIT,,23,,,,94
Derek Carrier,LVR,,31,,,,68
Foster Moreau,LVR,,24,,,,72
Willie Snead,LVR,,29,,,,145
Sony Michel,LAR,RB,26,,0.2,0.2,84
Johnny Mundt,LAR,,27,,,,89
Matthew Orzech,LAR,,26,,,,61
Josh Oliver,BAL,,24,,,,69
James Proche,BAL,,25,,,,119
Eric Tomlinson,BAL,,29,,,,62
Stephen Anderson,LAC,TE,28,,1.1,1.1,50
Chase Daniel,LAC,,35,,,,40
Gabe Nabers,LAC,RB,24,,0.2,0.2,81
Donald Parham,LAC,,24,,,,63
Penny Hart,SEA,,25,,,,131
Travis Homer,SEA,,23,,,,97
Geno Smith,SEA,,31,,,,41
Brandon Aiyuk,SFO,,23,,,,146
Ross Dwelley,SFO,,26,,,,85
Charlie Woerner,SFO,,24,,,,64
Cameron Brate,TAM,,30,,,,55
O.J. Howard,TAM,,27,,,,56
Tyler Johnson,TAM,,23,,,,137
Jaydon Mickens,TAM,,27,,,,125
Scott Miller,TAM,,24,,,,133
Dyami Brown,WAS,WR,22,,0.8,0.8,158
DeAndre Carter,WAS,,28,,,,155
Ricky Seals-Jones,WAS,,26,,,,57
Tyrone Swoopes,WAS,,27,,,,66
Rhamondre Stevenson,NWE,RB,23,-1,0.1,1.1,103
Ronald Jones II,TAM,RB,24,-1,-0.6,0.4,102
